787	142	5	10.34
394	359	4	15.79
129	2062	3	7.4
103	2017	7	12.37
161	645	4	8.63
2000	154	4	18.39
8	172	17	8.3
969	57	8	27.37
143	666	8	20.89
188	309	6	10.91
315	168	6	9.18
213	540	3	7.38
107	4536	3	8.25
547	572	3	16.01
862	193	3	8.6
2701	117	4	11.98
178	467	7	21.67
116	449	10	8.99
184	1070	3	9.79
59	2248	3	9.44
246	1318	3	14.58
133	1217	4	8.81
124	2440	3	7.44
2	733	5	6.85
103	5733	3	7.6
110	12	644	21.73
123	3290	5	27.22
1746	181	3	14.48
106	2706	4	9.61
386	104	22	13.46
103	5837	3	7.6
404	249	3	7.52
103	5913	3	7.6
401	348	3	9.91
199	575	3	7.03
5959	103	3	7.6
249	138	27	62.4
105	4501	3	6.8
740	108	8	7.63
221	101	52	7.06
13	625	5	9.56
13	677	7	19.73
226	686	3	9.12
617	338	4	19.08
16	2294	4	11.18
2150	120	4	9.05
12	129	544	774.76
1207	129	4	7.6
134	155	26	6.99
2513	16	3	7.36
21	5563	3	20.16
102	965	11	9.78
4031	124	3	12.1
2918	124	3	8.55
210	207	12	30.44
631	185	5	15.92
2383	118	4	10.13
214	138	34	76.71
3687	108	3	8.27
747	327	3	12.98
105	5198	3	10.94
454	459	3	13.25
103	112	364	12.67
170	815	5	17.56
985	106	8	12.32
1573	9	3	8.12
153	1306	3	7.56
164	286	22	91.55
113	443	12	11.52
284	287	4	9.33
126	341	9	6.64
173	203	8	9.63
1008	8	4	8.37
948	144	10	40.28
149	159	21	14.98
2138	168	4	20.25
514	109	12	13.06
284	125	11	6.88
641	111	9	9.77
149	102	184	57.37
708	215	4	14.49
134	5837	3	17.96
103	5022	3	7.6
3312	267	4	33.64
359	617	3	13.13
1043	247	3	12.83
104	1293	9	12.85
139	12	317	142.91
103	5142	3	7.6
3996	119	3	10.44
21	971	7	24.77
241	39	8	7.5
201	957	3	10.72
127	938	5	8.29
1108	179	3	9.57
45	1503	3	9.25
468	238	4	12.43
101	3233	5	10.8
203	1168	3	12.8
1002	39	10	50.09
117	113	132	11.4
110	1316	6	10.48
207	1005	3	11.48
267	240	5	10.29
758	233	3	10.29
118	1086	5	6.72
109	436	14	14.16
267	12	63	28.87
